JD,RV,RV_err,NP
2457095.360133783,21.6680285,0.0381064999999996,2
2457105.361130231,21.3521365,0.0344325000000012,2
2457115.362126678,21.091046846153844,0.10246193197989822,13
2457125.3631231254,20.633741666666666,0.0680010502655818,6
2457255.3760769437,21.6223665,0.031172499999998493,2
2457265.3770733913,21.821203500000003,0.04813249999999947,2
2457275.3780698385,21.917698,0.10350099999999962,2
2457285.3790662866,22.009343,0.0098069209,1
2457295.380062734,22.385904333333333,0.07876707689694282,3
2457305.381059181,22.667701,0.0885890000000007,2
2457325.383052076,22.905394,0.0082222199,1
2457335.384048524,23.03466075,0.03924622442589179,4
2457345.3850449715,23.264763285714285,0.08723695833060373,7
2457355.3860414186,22.967119666666665,0.5201292025935051,6
2457365.3870378667,23.371477,0.010504184,1
2457375.388034314,23.223253,0.015432000000000556,2
2457385.3890307616,23.135928,0.0575240000000008,2
2457395.390027209,23.029682,0.010111512,1
2457405.3910236564,22.9463525,0.009734349908269947,2
2457415.3920201045,22.84866325,0.00999161742427592,4
2457425.3930165516,22.9685065,0.010799547469455006,2
2457435.394012999,23.089593,0.0093224133,1
2457445.395009447,23.146348,0.011605282,1
2457455.396005894,23.265608,0.010869913,1
2457475.3979987893,22.388199,0.0095311056,1
2457615.4119490543,21.6511435,0.262320829834861,4
2457645.4149383972,20.264895,0.010565308,1
2457655.415934845,20.0028245,0.036543500000000506,2
2457665.416931292,19.967187,0.0720942105858716,3
2457675.41792774,20.1463165,0.022404500000000382,2
2457685.4189241873,20.15396166666667,0.05831053058887039,3
2457695.419920635,20.161497,0.0097561388,1
2457705.4209170826,20.749612399999997,0.11972633516248649,5
2457715.4219135297,20.854528307692306,0.08311114766326728,13
2457725.422909978,21.031139333333332,0.09161156778971126,3
2457735.423906425,21.1562408,0.06134710642043364,5
2457755.4258993203,21.508632,0.008237648250345082,2
2457765.4268957675,21.527447800000004,0.0769681897419975,5
2457775.427892215,21.77070525,0.031551455508224795,4
2457785.4288886627,21.548820833333334,0.11318045266655175,6
2457795.42988511,21.394777,0.0070384783,1
2457825.432874453,19.80575,0.0077338535,1
2457835.4338709004,19.499719,0.0069916593,1
2457985.4488176135,17.605167,0.06682300000000119,2
2457995.4498140607,17.778844799999998,0.04658631633172929,5
2458005.4508105083,17.992888,0.0097951274,1
2458015.451806956,18.379207,0.010841012861816119,2
2458035.4537998512,19.08091633333333,0.08633269391655128,3
2458045.4547962984,19.548574000000002,0.05343436299798034,4
2458055.4557927456,19.895851444444443,0.11876953678645541,9
2458065.4567891937,20.205382333333333,0.1017103514367583,12
2458075.457785641,20.467071,0.06263452518646034,24
2458085.4587820885,20.502586,0.05144769000450776,5
2458095.459778536,20.555401130434785,0.045277739393086124,23
2458105.4607749833,20.479694041666665,0.04314593042655633,24
2458115.4617714314,20.418129299999997,0.06469417850582367,30
2458125.4627678785,20.2939281,0.04358595405965119,30
2458135.463764326,20.309324928571424,0.05134823037215623,14
2458145.464760774,20.400291,0.03876743376426479,3
2458165.466753669,20.847520666666664,0.04537541978012144,6
2458175.4677501163,20.875547666666666,0.09064249005969686,3
2458185.4687465634,21.089527666666665,0.020405374019823286,3
2458195.4697430115,21.251054,0.0064144326,1
2458205.4707394587,20.919536,0.0087556211,1
2458215.4717359063,20.581354750000003,0.03868604945180418,4
2458225.472732354,20.514427,0.0071005652,1
2458355.485686172,16.6049686,0.09005097195833003,5
2458365.486682619,16.335169800000003,0.07894599985407826,10
2458375.487679067,16.192248,0.04680140120231484,8
2458385.4886755142,16.15602816666667,0.03443011785446349,12
2458395.489671962,16.241450800000003,0.03865847602480014,10
2458405.4906684095,16.52431532,0.08028883221754801,50
2458415.4916648567,16.857485666666665,0.017164281154641265,6
